Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,70,71,67
0,0,0,0,0,1,1,70,71,67
0,0,0,0,1,0,1,70,71,67
0,0,0,0,1,1,1,70,71,67
0,0,0,1,0,0,1,70,71,67
0,0,0,1,0,1,1,70,71,67
0,0,0,1,1,0,1,70,71,67
0,0,0,1,1,1,1,70,71,67
0,0,1,0,0,0,1,70,71,43
0,0,1,0,0,1,1,70,71,43
0,0,1,0,1,0,1,70,71,43
0,0,1,0,1,1,1,70,71,43
0,0,1,1,0,0,1,70,71,43
0,0,1,1,0,1,1,70,71,43
0,0,1,1,1,0,1,70,71,43
0,0,1,1,1,1,1,70,71,43
0,1,0,0,0,0,1,70,71,67
0,1,0,0,0,1,1,70,71,67
0,1,0,0,1,0,1,70,71,67
0,1,0,0,1,1,1,70,71,67
0,1,0,1,0,0,1,70,71,67
0,1,0,1,0,1,1,70,71,67
0,1,0,1,1,0,1,70,71,67
0,1,0,1,1,1,1,70,71,67
0,1,1,0,0,0,1,70,71,43
0,1,1,0,0,1,1,70,71,43
0,1,1,0,1,0,1,70,71,43
0,1,1,0,1,1,1,70,71,43
0,1,1,1,0,0,1,70,71,43
0,1,1,1,0,1,1,70,71,43
0,1,1,1,1,0,1,70,71,43
0,1,1,1,1,1,1,70,71,43
1,0,0,0,0,0,-1,43,44,43
1,0,0,0,0,1,-1,43,44,43
1,0,0,0,1,0,-1,43,44,43
1,0,0,0,1,1,-1,43,44,43
1,0,0,1,0,0,-1,43,44,43
1,0,0,1,0,1,-1,43,44,43
1,0,0,1,1,0,-1,43,44,43
1,0,0,1,1,1,-1,43,44,43
1,0,1,0,0,0,-1,43,44,43
1,0,1,0,0,1,-1,43,44,43
1,0,1,0,1,0,-1,43,44,43
1,0,1,0,1,1,-1,43,44,43
1,0,1,1,0,0,-1,43,44,43
1,0,1,1,0,1,-1,43,44,43
1,0,1,1,1,0,-1,43,44,43
1,0,1,1,1,1,-1,43,44,43
1,1,0,0,0,0,-1,43,44,43
1,1,0,0,0,1,-1,43,44,43
1,1,0,0,1,0,-1,43,44,43
1,1,0,0,1,1,-1,43,44,43
1,1,0,1,0,0,-1,43,44,43
1,1,0,1,0,1,-1,43,44,43
1,1,0,1,1,0,-1,43,44,43
1,1,0,1,1,1,-1,43,44,43
1,1,1,0,0,0,-1,43,44,43
1,1,1,0,0,1,-1,43,44,43
1,1,1,0,1,0,-1,43,44,43
1,1,1,0,1,1,-1,43,44,43
1,1,1,1,0,0,-1,43,44,43
1,1,1,1,0,1,-1,43,44,43
1,1,1,1,1,0,-1,43,44,43
1,1,1,1,1,1,-1,43,44,43
0,-1,0,-1,-1,-1,0,70,71,67
0,-1,1,-1,-1,-1,0,70,71,43
