Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,73,74,42
0,0,0,0,0,1,1,73,74,42
0,0,0,0,1,0,1,73,74,42
0,0,0,0,1,1,1,73,74,42
0,0,0,1,0,0,1,73,74,42
0,0,0,1,0,1,1,73,74,42
0,0,0,1,1,0,1,73,74,42
0,0,0,1,1,1,1,73,74,42
0,0,1,0,0,0,1,73,74,42
0,0,1,0,0,1,1,73,74,42
0,0,1,0,1,0,1,73,74,42
0,0,1,0,1,1,1,73,74,42
0,0,1,1,0,0,1,73,74,42
0,0,1,1,0,1,1,73,74,42
0,0,1,1,1,0,1,73,74,42
0,0,1,1,1,1,1,73,74,42
0,1,0,0,0,0,1,73,74,42
0,1,0,0,0,1,1,73,74,42
0,1,0,0,1,0,1,73,74,42
0,1,0,0,1,1,1,73,74,42
0,1,0,1,0,0,1,73,74,42
0,1,0,1,0,1,1,73,74,42
0,1,0,1,1,0,1,73,74,42
0,1,0,1,1,1,1,73,74,42
0,1,1,0,0,0,1,73,74,42
0,1,1,0,0,1,1,73,74,42
0,1,1,0,1,0,1,73,74,42
0,1,1,0,1,1,1,73,74,42
0,1,1,1,0,0,1,73,74,42
0,1,1,1,0,1,1,73,74,42
0,1,1,1,1,0,1,73,74,42
0,1,1,1,1,1,1,73,74,42
1,0,0,0,0,0,-1,73,74,42
1,0,0,0,0,1,-1,73,74,42
1,0,0,0,1,0,-1,73,74,42
1,0,0,0,1,1,-1,73,74,42
1,0,0,1,0,0,-1,73,74,42
1,0,0,1,0,1,-1,73,74,42
1,0,0,1,1,0,-1,73,74,42
1,0,0,1,1,1,-1,73,74,42
1,0,1,0,0,0,-1,73,74,42
1,0,1,0,0,1,-1,73,74,42
1,0,1,0,1,0,-1,73,74,42
1,0,1,0,1,1,-1,73,74,42
1,0,1,1,0,0,-1,73,74,42
1,0,1,1,0,1,-1,73,74,42
1,0,1,1,1,0,-1,73,74,42
1,0,1,1,1,1,-1,73,74,42
1,1,0,0,0,0,-1,73,74,42
1,1,0,0,0,1,-1,73,74,42
1,1,0,0,1,0,-1,73,74,42
1,1,0,0,1,1,-1,73,74,42
1,1,0,1,0,0,-1,73,74,42
1,1,0,1,0,1,-1,73,74,42
1,1,0,1,1,0,-1,73,74,42
1,1,0,1,1,1,-1,73,74,42
1,1,1,0,0,0,-1,73,74,42
1,1,1,0,0,1,-1,73,74,42
1,1,1,0,1,0,-1,73,74,42
1,1,1,0,1,1,-1,73,74,42
1,1,1,1,0,0,-1,73,74,42
1,1,1,1,0,1,-1,73,74,42
1,1,1,1,1,0,-1,73,74,42
1,1,1,1,1,1,-1,73,74,42
0,-1,-1,-1,-1,-1,0,73,74,42
