Head,BTHotspot,WIFI5Ghz,HotspotVoice,BTMedia,Cell,IMU,BluetoothBDRPower,BluetoothEDRPower,BluetoothLEPower
0,0,0,0,0,0,1,65,64,29
0,0,0,0,0,1,1,65,64,29
0,0,0,0,1,0,1,65,64,29
0,0,0,0,1,1,1,65,64,29
0,0,0,1,0,0,1,65,64,29
0,0,0,1,0,1,1,65,64,29
0,0,0,1,1,0,1,65,64,29
0,0,0,1,1,1,1,65,64,29
0,0,1,0,0,0,1,65,64,29
0,0,1,0,0,1,1,65,64,29
0,0,1,0,1,0,1,65,64,29
0,0,1,0,1,1,1,65,64,29
0,0,1,1,0,0,1,65,64,29
0,0,1,1,0,1,1,65,64,29
0,0,1,1,1,0,1,65,64,29
0,0,1,1,1,1,1,65,64,29
0,1,0,0,0,0,1,65,64,29
0,1,0,0,0,1,1,65,64,29
0,1,0,0,1,0,1,65,64,29
0,1,0,0,1,1,1,65,64,29
0,1,0,1,0,0,1,65,64,29
0,1,0,1,0,1,1,65,64,29
0,1,0,1,1,0,1,65,64,29
0,1,0,1,1,1,1,65,64,29
0,1,1,0,0,0,1,65,64,29
0,1,1,0,0,1,1,65,64,29
0,1,1,0,1,0,1,65,64,29
0,1,1,0,1,1,1,65,64,29
0,1,1,1,0,0,1,65,64,29
0,1,1,1,0,1,1,65,64,29
0,1,1,1,1,0,1,65,64,29
0,1,1,1,1,1,1,65,64,29
1,0,0,0,0,0,-1,65,64,29
1,0,0,0,0,1,-1,65,64,29
1,0,0,0,1,0,-1,65,64,29
1,0,0,0,1,1,-1,65,64,29
1,0,0,1,0,0,-1,65,64,29
1,0,0,1,0,1,-1,65,64,29
1,0,0,1,1,0,-1,65,64,29
1,0,0,1,1,1,-1,65,64,29
1,0,1,0,0,0,-1,65,64,29
1,0,1,0,0,1,-1,65,64,29
1,0,1,0,1,0,-1,65,64,29
1,0,1,0,1,1,-1,65,64,29
1,0,1,1,0,0,-1,65,64,29
1,0,1,1,0,1,-1,65,64,29
1,0,1,1,1,0,-1,65,64,29
1,0,1,1,1,1,-1,65,64,29
1,1,0,0,0,0,-1,65,64,29
1,1,0,0,0,1,-1,65,64,29
1,1,0,0,1,0,-1,65,64,29
1,1,0,0,1,1,-1,65,64,29
1,1,0,1,0,0,-1,65,64,29
1,1,0,1,0,1,-1,65,64,29
1,1,0,1,1,0,-1,65,64,29
1,1,0,1,1,1,-1,65,64,29
1,1,1,0,0,0,-1,65,64,29
1,1,1,0,0,1,-1,65,64,29
1,1,1,0,1,0,-1,65,64,29
1,1,1,0,1,1,-1,65,64,29
1,1,1,1,0,0,-1,65,64,29
1,1,1,1,0,1,-1,65,64,29
1,1,1,1,1,0,-1,65,64,29
1,1,1,1,1,1,-1,65,64,29
0,-1,-1,-1,-1,-1,0,65,64,29
